units,context,element,taxonid,symmetry,taxongroup,elementtype,variablename,ecologicalgroup,samples,sites
cm^3,NA,volume,276,NA,Laboratory analyses,volume,Sample quantity,LABO,44,1
g,NA,mass,276,NA,Laboratory analyses,mass,Sample quantity,LABO,136,3
grains/g,NA,concentration,63,NA,Laboratory analyses,concentration,Pollen concentration,LABO,198,2
grains/tablet,NA,concentration,930,NA,Laboratory analyses,concentration,Lycopodium tablets,LABO,975,15
ml,NA,volume,276,NA,Laboratory analyses,volume,Sample quantity,LABO,1281,18
NISP,reworked,pollen/spore,312,NA,Unidentified palynomorphs,pollen/spore,Indeterminable,UNID,4,1
NISP,NA,>10 µm,1062,NA,Charcoal,>10 µm,Charcoal,CHAR,87,1
NISP,NA,>125 µm,1062,NA,Charcoal,>125 µm,Charcoal,CHAR,67,1
NISP,NA,>125 µm,39380,NA,Charcoal,>125 µm,Charcoal (dark),CHAR,34,1
NISP,NA,>125 µm,39382,NA,Charcoal,>125 µm,Charcoal (graminoid),CHAR,34,1
NISP,NA,>25 µm,1062,NA,Charcoal,>25 µm,Charcoal,CHAR,4,1
NISP,NA,0-50 µm,1062,NA,Charcoal,NA,Charcoal,CHAR,67,1
NISP,NA,50-125 µm,1062,NA,Charcoal,NA,Charcoal,CHAR,67,1
NISP,NA,ascospore,1489,NA,Fungi,ascospore,Sporormiella,FUNG,18,2
NISP,NA,ascospore,5415,NA,Fungi,ascospore,Diporotheca,FUNG,2,1
NISP,NA,ascospore,27591,NA,Fungi,ascospore,Cercophora-type,FUNG,15,1
NISP,NA,ascospore,27598,NA,Fungi,ascospore,Podospora-type,FUNG,3,1
NISP,NA,ascospore,27614,NA,Fungi,ascospore,Ustulina deusta,FUNG,1,1
NISP,NA,ascospore,39265,NA,Fungi,ascospore,Cirrenalia,FUNG,29,1
NISP,NA,chlamydospore,34404,NA,Fungi,chlamydospore,"Fungi (type 11, HdV)",FUNG,5,1
NISP,NA,colony,202,NA,Algae,colony,Pediastrum,ALGA,154,5
NISP,NA,colony,326,NA,Algae,colony,Botryococcus,ALGA,34,3
NISP,NA,colony,685,NA,Algae,colony,Pediastrum angulosum,ALGA,6,1
NISP,NA,colony,690,NA,Algae,colony,Pediastrum duplex,ALGA,201,3
NISP,NA,colony,2818,NA,Algae,colony,Botryococcus braunii,ALGA,65,1
NISP,NA,colony,3498,NA,Algae,colony,Coelastrum,ALGA,121,2
NISP,NA,colony,5052,NA,Algae,colony,Pediastrum undulatum,ALGA,1,1
NISP,NA,colony,33383,NA,Algae,colony,Pseudopediastrum boryanum,ALGA,248,3
NISP,NA,colony,33384,NA,Algae,colony,Pseudopediastrum kawraiskyi,ALGA,77,1
NISP,NA,colony,33387,NA,Algae,colony,Pseudopediastrum boryanum var. longicorne,ALGA,2,1
NISP,NA,colony,33392,NA,Algae,colony,Pseudopediastrum boryanum var. boryanum sensu lato,ALGA,11,3
NISP,NA,colony,33398,NA,Algae,colony,Monactinus simplex,ALGA,143,2
NISP,NA,colony,40762,NA,Algae,colony,Pediastrum (type 1),ALGA,10,1
NISP,NA,colony,47822,NA,Algae,colony,Scenedesmus cf. naegelii,ALGA,13,1
NISP,NA,concentration,63,NA,Laboratory analyses,concentration,Pollen concentration,LABO,84,3
NISP,NA,concentration,1305,NA,Laboratory analyses,concentration,Spike,LABO,12,2
NISP,NA,conidium,42578,NA,Fungi,conidium,"Tetraploa aristata (type 89, HdV)",FUNG,1,1
NISP,NA,conidium/chlamydospore,34369,NA,Fungi,conidium/chlamydospore,"Fungi (type 120, HdV)",FUNG,8,1
NISP,NA,counted,324,NA,Laboratory analyses,counted,Microspheres,LABO,21,1
NISP,NA,counted,932,NA,Laboratory analyses,counted,Lycopodium spike,LABO,244,3
NISP,NA,counted,1305,NA,Laboratory analyses,counted,Spike,LABO,5,1
NISP,NA,cyst,634,NA,Dinoflagellates,cyst,Lingulodinium machaerophorum,DINO,1,1
NISP,NA,cyst,778,NA,Dinoflagellates,cyst,Dinoflagellata,DINO,108,4
NISP,NA,cyst,5469,NA,Acritarchs,cyst,Pseudoschizaea,ACRI,26,3
NISP,NA,egg/remains,34870,NA,Crustaceans undiff.,egg/remains,"Copepoda (type 179, HdV)",COPE,16,1
NISP,NA,egg/remains,38571,NA,Crustaceans undiff.,egg/remains,"Alona rustica (type 72, HdV)",CLAD,3,1
NISP,NA,filament,33383,NA,Algae,NA,Pseudopediastrum boryanum,ALGA,4,1
