units,context,element,taxonid,symmetry,taxongroup,elementtype,variablename,ecologicalgroup,sites,samples
grains/tablet,NA,concentration,930,NA,Laboratory analyses,concentration,Lycopodium tablets,LABO,3,130
grains/tablet,NA,concentration,932,NA,Laboratory analyses,concentration,Lycopodium spike,LABO,1,80
ml,NA,volume,276,NA,Laboratory analyses,volume,Sample quantity,LABO,6,368
NISP,anachronic,pollen/spore,2644,NA,Unidentified palynomorphs,pollen/spore,Unknown (Tertiary),ANAC,4,137
NISP,anachronic,spore,544,NA,Unidentified palynomorphs,spore,Unknown (Cretaceous),ANAC,1,6
NISP,anachronic,spore,2644,NA,Unidentified palynomorphs,spore,Unknown (Tertiary),ANAC,2,16
NISP,NA,ascospore,1489,NA,Fungi,ascospore,Sporormiella,FUNG,1,27
NISP,NA,ascospore,2193,NA,Fungi,ascospore,Gelasinospora,FUNG,6,19
NISP,NA,ascospore,3698,NA,Fungi,ascospore,Microthyrium,FUNG,30,223
NISP,NA,ascospore,5128,NA,Fungi,ascospore,Gelasinospora undiff.,FUNG,1,1
NISP,NA,ascospore,5129,NA,Fungi,ascospore,Gelasinospora reticulispora,FUNG,1,5
NISP,NA,ascospore,5407,NA,Fungi,ascospore,Helicoma,FUNG,3,17
NISP,NA,ascospore,5413,NA,Fungi,ascospore,Anthostomella fuegiana,FUNG,1,1
NISP,NA,ascospore,5414,NA,Fungi,ascospore,Gaeumannomyces cf. G. caricis,FUNG,6,131
NISP,NA,ascospore,5415,NA,Fungi,ascospore,Diporotheca,FUNG,6,50
NISP,NA,ascospore,5584,NA,Fungi,ascospore,Helicoön pluriseptatum,FUNG,5,155
NISP,NA,ascospore,9988,NA,Fungi,ascospore,Gaeumannomyces,FUNG,4,55
NISP,NA,ascospore,10006,NA,Fungi,ascospore,Ascomycota,FUNG,4,53
NISP,NA,ascospore,27614,NA,Fungi,ascospore,Ustulina deusta,FUNG,4,83
NISP,NA,ascospore,29431,NA,Fungi,ascospore,Geoglossum sphagnophilum,FUNG,1,1
NISP,NA,ascospore,29637,NA,Fungi,ascospore,Ascospora,FUNG,1,7
NISP,NA,ascospore,30552,NA,Fungi,ascospore,Lasiosphaeria-type,FUNG,1,8
NISP,NA,ascospore,30600,NA,Fungi,ascospore,Coniochaeta xylariispora,FUNG,2,56
NISP,NA,ascospore,30758,NA,Fungi,ascospore,"Gelasinospora (type 1, HdV)",FUNG,1,13
NISP,NA,ascospore,30984,NA,Fungi,ascospore,Actinopeltis undiff.,FUNG,2,7
NISP,NA,ascospore,32493,NA,Fungi,ascospore,"Geoglossum sphagnophilum/Trichoglossum hirsutum (type 77A/77B, HdV)",FUNG,1,3
NISP,NA,ascospore,32539,NA,Fungi,ascospore,Chaetomium undiff.,FUNG,1,1
NISP,NA,ascospore,32597,NA,Fungi,ascospore,Coniochaeta cf. C. ligniaria,FUNG,1,90
NISP,NA,ascospore,32863,NA,Fungi,ascospore,Gaeumannomyces undiff.,FUNG,1,12
NISP,NA,ascospore,33090,NA,Fungi,ascospore,Lasiosphaeria cf. L. caudata,FUNG,1,63
NISP,NA,ascospore,33091,NA,Fungi,ascospore,Lasiosphaeria sp.,FUNG,1,2
NISP,NA,ascospore,33251,NA,Fungi,ascospore,Microthyrium microscopicum,FUNG,4,18
NISP,NA,ascospore,33252,NA,Fungi,ascospore,Microthyrium undiff.,FUNG,2,32
